id;comunidad_autonoma_id;nombre;nombre_ine
1;16;Álava;Araba/Álava
2;8;Albacete;Albacete
3;10;Alicante;Alicante/Alacant
4;1;Almería;Almería
5;7;Ávila;Ávila
6;11;Badajoz;Badajoz
7;4;Islas Baleares;Balears, Illes
8;9;Barcelona;Barcelona
9;7;Burgos;Burgos
10;11;Cáceres;Cáceres
11;1;Cádiz;Cádiz
12;10;Castellón;Castellón/Castelló
13;8;Ciudad Real;Ciudad Real
14;1;Córdoba;Córdoba
15;12;A Coruña, Coruña, A
16;8;Cuenca;Cuenca
17;9;Girona;Girona
18;1;Granada;Granada
19;8;Guadalajara;Guadalajara
20;16;Gipuzkoa;Gipuzkoa
21;1;Huelva;Huelva
22;2;Huesca;Huesca
23;1;Jaén;Jaén
24;7;León;León
25;9;Lleida;Lleida
26;17;La Rioja;Rioja, La
27;12;Lugo;Lugo
28;13;Madrid;Madrid
29;1;Málaga;Málaga
30;14;Murcia;Murcia
31;15;Navarra;Navarra
32;12;Ourense;Ourense
33;3;Asturias;Asturias
34;7;Palencia;Palencia
35;5;Las Palmas;Palmas, Las
36;12;Pontevedra;Pontevedra
37;7;Salamanca;Salamanca
38;5;Tenerife;Santa Cruz de Tenerife
39;6;Cantabria;Cantabria
40;7;Segovia;Segovia
41;1;Sevilla;Sevilla
42;7;Soria;Soria
43;9;Tarragona;Tarragona
44;2;Teruel;Teruel
45;8;Toledo;Toledo
46;10;Valencia;Valencia/València
47;7;Valladolid;Valladolid
48;16;Bizkaia;Bizkaia
49;7;Zamora;Zamora
50;2;Zaragoza;Zaragoza
51;18;Ceuta;Ceuta
52;19;Melilla;Melilla
